row,content_date
6831,10-dic-93
6848,10-dic-93
6863,20-dic-91
6864,10-dic-93
6865,10-dic-93
6888,10-dic-93
6889,10-dic-93
6890,10-dic-93
6891,10-dic-93
6892,10-dic-93
6899,10-dic-93
6900,10-dic-93
6904,10-dic-93
6905,10-dic-93
6906,10-dic-93
6907,10-dic-93
6908,10-dic-93
6909,10-dic-93
6922,10-dic-93
6924,15-dic-89
6925,15-dic-89
6927,30-dic-87
6928,30-dic-87
6929,30-dic-87
6931,30-dic-87
6932,15-dic-89
6936,15-dic-89
6937,15-dic-89
6939,30-dic-87
6940,30-dic-87
6941,30-dic-87
6942,30-dic-87
6943,30-dic-87
6944,30-dic-87
6945,15-dic-89
6946,30-dic-87
6950,30-dic-87
6951,30-dic-87
6952,15-dic-89
6954,30-dic-87
6955,30-dic-87
6957,30-dic-87
6958,15-dic-89
6959,30-dic-87
6962,15-dic-89
6963,30-dic-87
6965,30-dic-87
6966,30-dic-87
6967,30-dic-87
6972,15-dic-89
6975,30-dic-87
6976,30-dic-87
6977,20-abr-94
6978,11-ago-94
6979,15-dic-89
6980,15-dic-89
6981,30-dic-87
6986,30-dic-87
6987,30-dic-87
6988,30-dic-87
6990,30-dic-87
7001,15-dic-89
7013,15-dic-89
7017,15-dic-89
7046,22-dic-89
7057,30-dic-87
7061,10-dic-90
7064,15-dic-89
7067,13-dic-92
7077,13-dic-92
7097,13-dic-92
7101,30-dic-87
7112,13-dic-92
7113,13-dic-92
7114,13-dic-92
7115,13-dic-92
7116,13-dic-92
7117,13-dic-92
7118,13-dic-92
7119,13-dic-92
7120,13-dic-92
7121,13-dic-92
7142,01-dic-90
7143,30-dic-86
7151,10-dic-91
7152,10-dic-90
7153,10-dic-90
7155,10-dic-91
7156,10-dic-90
7157,10-dic-90
7158,10-dic-90
7159,10-dic-90
7160,10-dic-90
7164,10-dic-90
7165,10-dic-90
7166,10-dic-90
7167,10-dic-91
7168,10-dic-91
7169,10-dic-90
7180,13-dic-92
7189,30-dic-87
7190,30-dic-87
7197,30-dic-87
7209,30-dic-87
7210,30-dic-87
7216,30-dic-87
7287,30-dic-87
7290,13-dic-92
7291,13-dic-92
7292,13-dic-92
7293,13-dic-92
7294,13-dic-92
7295,13-dic-92
7299,13-dic-92
7300,13-dic-92
7301,13-dic-92
7302,13-dic-92
7310,30-dic-87
7316,13-dic-92
7333,10-dic-90
7337,30-dic-87
7350,30-dic-87
7373,30-dic-87
7379,13-dic-92
7380,13-dic-92
7381,13-dic-92
7382,13-dic-92
7409,30-dic-87
7410,30-dic-87
7425,30-dic-87
7435,30-dic-87
7437,30-dic-87
7439,30-dic-87
7461,13-dic-92
7462,13-dic-92
7463,13-dic-92
7464,13-dic-92
7465,13-dic-92
7489,30-dic-87
7490,30-dic-87
7491,30-dic-87
7492,30-dic-87
7493,30-dic-87
7494,10-dic-90
7501,10-dic-93
7522,30-dic-87
7528,10-dic-90
7529,10-dic-90
7531,30-dic-87
7532,30-dic-87
7533,13-dic-92
7534,13-dic-92
7535,13-dic-92
7536,13-dic-92
7537,13-dic-92
7549,13-dic-92
7569,10-dic-90
7570,20-dic-02
7571,20-dic-02
7572,30-dic-87
7574,30-dic-87
7615,30-dic-87
7616,30-dic-87
7617,30-dic-87
7618,30-dic-87
7689,10-dic-90
7691,10-dic-90
7692,10-dic-90
7693,10-dic-90
7694,10-dic-90
7695,10-dic-91
7696,10-dic-90
7697,10-dic-90
7698,10-dic-90
7699,10-dic-90
7700,10-dic-90
7701,10-dic-90
7702,10-dic-90
7703,10-dic-90
7704,10-dic-90
7705,10-dic-90
7706,10-dic-90
7707,10-dic-90
7708,10-dic-90
7709,10-dic-90
7710,10-dic-90
7711,10-dic-90
7712,10-dic-90
7713,10-dic-90
7714,10-dic-90
7715,10-dic-90
7716,10-dic-90
7717,10-dic-90
7718,10-dic-90
7719,10-dic-90
7720,10-dic-90
7721,10-dic-90
7722,10-dic-90
7723,10-dic-90
7724,10-dic-90
7725,10-dic-90
7726,10-dic-90
7727,10-dic-90
7728,10-dic-90
7731,04-ago-84
7732,04-ago-84
7765,13-dic-92
7794,13-dic-92
7827,13-dic-92
7828,13-dic-92
7829,13-dic-92
7842,13-dic-92
7843,13-dic-92
7850,13-dic-92
7851,13-dic-92
7857,13-dic-92
7858,13-dic-92
7859,13-dic-92
7860,13-dic-92
7864,13-dic-92
7869,10-dic-93
7870,10-dic-93
7886,10-dic-93
7915,30-dic-87
7916,30-dic-87
7917,30-dic-87
7918,30-dic-87
7919,30-dic-87
7920,30-dic-87
7921,30-dic-87
7922,30-dic-87
7923,30-dic-87
7924,30-dic-87
7925,30-dic-87
7926,30-dic-87
7927,30-dic-87
7928,14-ago-97
7929,14-ago-96
7930,30-dic-87
7931,30-dic-87
7942,01-ene-09
7943,01-ene-09
8002,13-abr-06
8015,15-dic-86
8017,15-dic-89
8019,15-dic-86
8025,27-ago-97
8026,20-dic-93
8027,15-dic-86
8028,15-dic-86
8029,15-dic-86
8030,15-dic-86
8031,27-ago-97
8033,15-dic-86
8034,27-ago-97
8035,15-dic-86
8036,27-ago-97
8037,27-ago-97
8045,27-ago-97
8046,27-ago-97
8047,27-ago-97
8048,27-ago-97
8049,27-ago-97
8050,27-ago-97
8051,ago-26
8052,ago-26
8053,ago-26
8054,ago-26
8056,15-abr-85
8058,27-ago-97
8059,27-ago-97
8582,27-ago-97
8583,27-ago-97
8584,27-ago-97
8585,27-ago-97
8586,27-ago-97
8587,27-ago-97
8588,27-ago-97
8589,27-ago-97
8590,27-ago-97
8591,27-ago-97
8592,27-ago-97
8593,27-ago-97
8594,27-ago-97
8595,27-ago-97
8596,27-ago-97
8597,27-ago-97
8598,27-ago-97
8600,27-ago-97
8601,27-ago-97
8602,27-ago-97
8603,27-ago-97
8604,27-ago-97
8605,27-ago-97
8606,27-ago-97
8607,27-ago-97
8608,27-ago-97
8609,27-ago-97
8610,27-ago-97
8611,27-ago-97
