EMu Catalog IRN,CatPrefix,CatNumber,CatSuffix,BioParticipantString,BioDateVisitedFrom,BioDateVisitedTo,ClaOrder,ClaFamily,ClaGenus,ClaSpecies,ClaSubspecies,EMU Localities IRN,AquBottomDepthFromMet,AquBottomDepthToMet,AquDepthFromMet,AquDepthToMet,AquDistanceFromShoreMet,AquDistanceFromShoreToMet,DraDrainage,DraDrainageSeaGulf,DraPrimaryTributary,DraQuaternaryTributary,DraRiverBasin,DraSecondaryTributary,DraTertiaryTributary,LatDeriveCentroid_tab,LatPreferred_tab,LocArchipelago,LocBaySound,LocContinent,LocContinentalShelfRegion,LocCountry,LocDistrictCountyShire,LocIslandGrouping,LocIslandName,LocNearestNamedPlace,LocNoFurtherLocalityData,LocOcean,LocPreciseLocation,LocProvinceStateTerritory,LocSeaGulf,LocSiteName_tab,LocTownship,TerElevationFromMet,TerElevationToMet,TerVerbatimElevation,LatPreferredCentroidLatDec,LatPreferredCentroidLongDec
3437377,R,107251,,D. K. Massey,1969-03-12,1969-03-12,Squamata,Hydrophiidae,Disteira,schistosa,,3040959,,,,,,,,,,,,,,,,,,Asia,,India,,,,,,,Kerala,,,,,,,,,
3437379,R,107252,,D. K. Massey,1969-03-12,1969-03-12,Squamata,Hydrophiidae,Disteira,schistosa,,3040959,,,,,,,,,,,,,,,,,,Asia,,India,,,,,,,Kerala,,,,,,,,,
3603114,R,81860,,,1958-12-31,1958-12-31,Squamata,Hydrophiidae,Disteira,schistosa,,3060195,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,Coastal waters nr Karachi,Islamabad,,,,,,,,
3537178,R,96080,,Ranil Senanayake,1965-09-,1965-09-,Squamata,Hydrophiidae,Pelamis,platurus,,3052775,,,,,,,,,,,,,,,,,,Asia,,Sri Lanka,,,,,,,Mount Lavinia,Western Province,,,,,,sea level,,
3628237,R,86905,,Jooma,1961-07-11,1961-07-11,Squamata,Hydrophiidae,Disteira,schistosa,,3064278,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,"Korangi Creek, nr PAF-Airforce Sta",Karachi,,,,,,,,
3628239,R,86906,,Jooma,1961-07-11,1961-07-11,Squamata,Hydrophiidae,Disteira,schistosa,,3064278,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,"Korangi Creek, nr PAF-Airforce Sta",Karachi,,,,,,,,
3625390,R,85540,,John de_Silva,1960,1960,Squamata,Hydrophiidae,Pelamis,platurus,,3063813,,,,,,,,,,,,,,,,,,Asia,,Sri Lanka,,,,,,,,Colombo,,,,,,,,
3427695,R,67178,,,,,Squamata,Hydrophiidae,Hydrophis,melanocephalus,,3027248,,,,,,,,,,,,,,,,,,No Data,,No Data,,,,,,,,,,,,,,,,
3631043,R,140374,,,,,Squamata,Hydrophiidae,Laticauda,semifasciata,,3027248,,,,,,,,,,,,,,,,,,No Data,,No Data,,,,,,,,,,,,,,,,
3631047,R,140376,,,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3027248,,,,,,,,,,,,,,,,,,No Data,,No Data,,,,,,,,,,,,,,,,
3631045,R,140375,,,,,Squamata,Hydrophiidae,Laticauda,semifasciata,,3027248,,,,,,,,,,,,,,,,,,No Data,,No Data,,,,,,,,,,,,,,,,
3640108,R,144706,,,,,Squamata,Hydrophiidae,,,,3027248,,,,,,,,,,,,,,,,,,No Data,,No Data,,,,,,,,,,,,,,,,
3356877,R,119856,,,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3029063,,,,,,,,,,,,,,,,,,South Pacific,,Fiji Islands,,,,,,Pacific Ocean,presumably from vic Suva,,,,,,,,,
3356871,R,119853,,,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3029063,,,,,,,,,,,,,,,,,,South Pacific,,Fiji Islands,,,,,,Pacific Ocean,presumably from vic Suva,,,,,,,,,
3356865,R,119850,,,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3029063,,,,,,,,,,,,,,,,,,South Pacific,,Fiji Islands,,,,,,Pacific Ocean,presumably from vic Suva,,,,,,,,,
3534265,R,35202,,Clifford H. Pope,,,Squamata,Hydrophiidae,Hydrophis,melanocephalus,,3052506,,,,,,,,,,,,,,,,,,Asia,,,,,,,,,,,,,,,,,,
3578143,R,14173,,Malcolm A. Smith M.D.,,,Squamata,Hydrophiidae,Hydrophis,torquatus,diadema,3056788,,,,,,,,,,,,,,,,,,Asia,,,,,,,,,,,Gulf of Siam,,,,,,,
3356863,R,119849,,,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3029063,,,,,,,,,,,,,,,,,,South Pacific,,Fiji Islands,,,,,,Pacific Ocean,presumably from vic Suva,,,,,,,,,
