 
 Cebu
 Guaymas
Arafura Sea
Aransa Pass,
Aransas Bay
Aransas Bay,
Aransas Pass
Aransas Pass,
Aransas,
Arasji,
Arauros Pass,
Arbatax,
Arcadia
Arcadia,
Arcas Key,
Arched Rock Beach at Marshall Gulch,
Arena Bank
Arenas de Quebra,
Arenas de Quebro
Arenas de Quebro,
Arenes de Quebro,
Argentario,
Argyll,
Argyllshire,
Ariake Bay,
Ariaod,
Arida,
Aripes,
Arkles Bay
Arkles Bay,
Armacao de Pera,
Armiston,
Arniston,
Arno Atoll,
Arno's Vale
Arno's Vale,
Arnos Vale,
Aromach County,
Aromat Village,
Arosi
Around Ahu Tre Island, Nha Trang Harbor,
Arpa Harbor,
Arrabida peninsula,
Arrecife de Lanzarote,
Arricife de Lanzarote,
Arroyo Arenas
Arroyo Arenas,
Arroyo Calleros,
Aruba
Aruba,
Arue,
Asa Vata,
Asahi, Akagawa,
Asan Point,
Asan Pt.
Asan,
Asbury Park,
Asbury Park, 15 mi. East,
Ashore at Sanibel Island,
Ashville,
Ashville, Buncombe County
Asilmor,
Asilomar,
Assacteague Island, Tom's Cove,
Assatague Island,
Assateague Beach,
Assateague Island National Shore, south Ocean City
Assateague Island,
Astoria
Astrolabe Reef,
Asturias
At end beyond Jap canon,
At sub channel entrance,
At'ui Island,
Ata'A,
Ata'a,
Ataa Reef,
Ataa Reef.
Ataa reef,
Ataa,
Athens, Findiab Ridge Campsites,
Athens, Greene County,
Atia Pt.,
Atimonan,
Atlantic
Atlantic Beach,
Atlantic Beach, Carteret co.,
Atlantic City Beach,
Atlantic City,
Atlantic Co.,
Atlantic Highlands,
Atlantic side north of,
Atlantic side of Buffels Bay,
Atlantic side of Plantation Key
Atlas Bay,
Atoll de Rangiroa,
Atona Beach,
Atona Lagoon,
Auburn,
Auckland
Auckland Harbor,
Auckland,
Aucklnad,
Audencia Beach,
Audiencia Bay,
Audiencia Beach,
Audienzia Beach,
Audresselles,
Augustine,
Auki, Malaita Island
Aukify,
Aukland,
Ausela Reef
Austin
Austin, Travis County
Autsatracole,
Avalon,
Avenas de Quebra
Avenos de Quedra
Avera,
Avila Beach,
Awarua
Awase,
Axis Beach,
Ayios Spiridhan,
B'masin,
B. de Navidad,
B.P. Oil Refinery,
BP Refinery,
Baas Mosenduque
Bababac,
Babbin Island,
Baby Beach Lagoon,
Baby Beach,
Baby Lagoon,
Baby lagoon,
Baby's Beach
Baby's Beach,
Baca Chica,
Bacardi Sand Bar,
Baceler Point,
Bachelor Beach,
Back Bay,
Back of Trailer Camp,
Back reef, E side of Discovery Bay,
Baco,
Bacochibampo Bay,
Bacochibampo Island
Bacolet Beach,
Bacolet Inn,
Bacuna Yagua River,
Bacunayacena Road,
Bacunayagua River,
Badigo Bay,
Baedex Inn,
Baei,
Bafureira beach, east of S. Pedro's,
Bago,
Bah.S.Luis Gonzaga,
Baha,
Bahai Honda
Bahia Adair,
Bahia Adaire,
Bahia Anton Viejo,
Bahia Balandra,
Bahia Bocochibampo,
Bahia Chatham,
Bahia Coastacomate
Bahia Conceocion,
Bahia Concepcion
Bahia Concepcion,
Bahia Conception
Bahia Conception,
Bahia Costcomate
Bahia Coyote,
Bahia Cuastecomate,
Bahia De Los Angeles,
Bahia Escondido,
Bahia Gonzaga,
Bahia Homda
Bahia Honda
Bahia Honda Beach,
Bahia Honda Beach, Florida Keys,
Bahia Honda Bridge
Bahia Honda Bridge,
Bahia Honda Island,
Bahia Honda Key
Bahia Honda Key,
Bahia Honda State Park,
Bahia Honda,
Bahia Honda, Kiel's Beach,
Bahia Honda, Kiels Beach
Bahia Hondo
Bahia Hondo Key,
Bahia Jaltemba,
Bahia Las Palmas,
Bahia Los Angeles,
Bahia S. Carlos,
Bahia S.Luis Gonzaga,
Bahia San Carlos
Bahia San Carlos,
Bahia San Francisco,
Bahia San Louis Gonzaga
Bahia San Louis Gonzaga,
Bahia San Louis Gonzages
Bahia San Louis Gonzazga,
Bahia San Louis Gozaga
Bahia San Lucas,
Bahia San Luis Ganzaga,
Bahia San Luis Gonzaga,
Bahia San Luis Gonzagas
Bahia Santa Maria,
Bahia Santiago,
Bahia Santo Toams,
Bahia Soldado,
Bahia Vargas Lozano,
Bahia d' Anasco,
Bahia de Adair
Bahia de Adair,
Bahia de Anasco,
Bahia de Concepcion,
Bahia de Conception
Bahia de Conception,
Bahia de Los Angele3s,
Bahia de Los Angeles,
Bahia de S.Luis Gonzaga,
Bahia de Santo Antonio,
Bahia de Sebastian
Bahia de la Paz
Bahia de los Angeles
Bahia de los Angeles,
Bahia de los Palmas,
Bahia del Rosario,
Bahia el Dorado,
Bahol
Baia das Cocos,
Baia do Caciao
Baie Goree,
Baie Uie,
Baie de Fort d'France,
Baie de Fort de France,
Baie de Goree,
Baie de Goree, Cap Vert,
Baie de Hann,
Baie de Ndajane,
Baie de Prouin,
Baie de Ste Marie,
Baie de Trois Ilets,
Baie des Citrons,
Baie des Citrous,
Baie du Prony,
Bailey's Island,
Bainbridge Island,
Baira & Quelimane,
Bais Central,
Baja
Baja Boyarena,
Baja California
Baja California Norte,
Baja California,
Baja Concepcion
Baja Concepcion,
Baja Sardinia,
Baja Sur,
Baja,
Baja, California
Baja, Mexico,
Baja,Rancho el Tuje,
Bajo Bayarena,
Bajo Bojarena,
Bajo Boyanena Island,
Bajo Boyarena
Bajo Boyarena,
Bajo Byarena,
Bakau,
Balabac
Balabac Id.,
Balabac Island,
Balabac,
Balabae,
Balaban,
Balabas,
Balacasag Island,
Balacasag,
Balakasic Island,
Balandra
Balandra Bay,
Balandra Beach,
Balandra,
Balang Kayan,
Balangkayan,
Balashi,
Balat,
Balboa Basin,
Balboa Bay,
Balboa Island,
Balboa,
Balcall
Balcod
Baldwin Hills, CA
Baler Bay,
Baletta,
Bali Beach Hotel,
Bali Beach,
Bali,
Balicasag Id.,
Balicasag Iland,
Balicasag Island,
Balicasag,
Balicasg Island
Balicasig Island,
Balicosag Island,
Balicsag Island
Balingasag,
Balingtayan,
Balisag Island,
Baliungan Island
Ballandras Bay,
Ballenas Bay,
Ballona Cr.,
Ballyconneely,
Ballyconneleey,
Balsas River,
Baltra Island
Baltram Island,
Balugha Mouth,
Balugha,
Balust Island,
Balut Id.,
Balut Island,
Balut,
Balut.
Bambatini
Bambui,
Banan Town,
Banan,
Banana,
Banda Island
Banda, Tateyama
Bandera Bay,
Banderas Baqy,
Banderas Bay
Banderas Bay,
Banderas bay,
Bandero Bay,
Bandero Bay.
Banderos Bay,
Bandra,
Banes
Banes Sound,
Bangka Strait,
Bangor,
