PrepIRN	CatPrefix	CatNumber	CatSuffix	BioDateVisitedFrom	BioDateVisitedTo	ExpExpeditionName	BioParticipantString	ClaOrder	ClaFamily	ClaGenus	ClaSpecies	ClaSubspecies	LocContinent	LocCountry	LocDistrictCountyShire	LocIslandGrouping	LocIslandName	LocOcean	LocPreciseLocation	LocProvinceStateTerritory	LocSeaGulf	LocTownship	TerElevationFromMet	TerElevationToMet	TerVerbatimElevation	LatPreferredCentroidLatDec	LatPreferredCentroidLongDec
6508434	EN	5272		15 Mar 1927		Whitney South Sea Expedition	R.H. Beck	Galliformes	Megapodiidae	Megapodius	freycinet	eremita							Arve Raber ??Island, Solomon Group, Pacific								
6508436	EN	5273		01 Apr 1927		Whitney South Sea Expedition	for R.H. Beck	Galliformes	Megapodiidae	Megapodius	freycinet	eremita							Baron ?? Island, Solomon Group, Pacific								
6508464	EN	5287		10 Oct 1934		Whitney South Sea Expedition	W.F. Coultas	Galliformes	Megapodiidae	Megapodius	freycinet	eremita							Lihir Island, Lihir Group, Pacific								
6255213	SKIN	98154		04 Dec 1885				Strigiformes	Strigidae	Megascops	asio	asio	North and Central America	USA					Atlanticville, L.I.	New York							
6254451	SKIN	98029		21 Jan 1886						Merganser	americanus		North and Central America	USA					Atlanticville, L.I.	New York							
6440193	SKEL	3216		16 Oct 1912			R. C. Murphy			Micranous	leucocapillus							S. Atlantic Ocean	Isles of Fernando Noronha								
6440191	SKEL	3215		16 Oct 1912			R. C. Murphy			Micranous	leucocapillus							S. Atlantic Ocean	Isles of Fernando Noronha								
6364807	SKIN	60718		15 Feb 1894		Museum Expedition	F. M. Chapman			Myiadestes	dominicanus			Dominica					Roseau								
6364809	SKIN	60719		20 Feb 1894		Museum Expedition	F. M. Chapman			Myiadestes	dominicanus			Dominica					Roseau								
5593065	SKIN	438125		03 Sep 1912			Wm. B. Richardson	Passeriformes	Thamnophilidae	Myrmeciza	immaculata	berlepschi		W. Colom.					Barbacoas, (sea level) Narino								
5593061	SKIN	438124		22 Aug 1912			Wm. B. Richardson	Passeriformes	Thamnophilidae	Myrmeciza	immaculata	berlepschi		W. Colom.					Barbacoas, (sea level) Narino								
5593057	SKIN	438123		20 Aug 1912			Wm. B. Richardson	Passeriformes	Thamnophilidae	Myrmeciza	immaculata	berlepschi		W. Colom.					Barbacoas, (sea level) Narino								
6325405	SKIN	75018					Louis A. di Zerega			Nyctala	acadica		North and Central America	USA					Seabright	New Jersey							
5607092	SKIN	445114		17 Dec 1915			R. H. Beck	Pelecaniformes	Ardeidae	Nycticorax	naevius	cyanocephalus		Falkland Is.					Sea Lion I.								
5715213	SKIN	400224		08 Sep 1904				Passeriformes	Passerellidae	Passerculus	rostratus	rostratus	North and Central America	USA	San D. Co.				Pacific Beach	California							
